owner,caller_site,target,name
CGame::Initialise,0x002FB06C,0x0018F648,
CGame::Initialise,0x002FB074,0x00190D18,
CGame::Initialise,0x002FB07C,0x00190380,
CGame::Initialise,0x002FB084,0x0018F648,
CGame::Initialise,0x002FB08C,0x0018F648,
CGame::Initialise,0x002FB094,0x002F56F0,
CGame::Initialise,0x002FB09C,0x0022B4D0,CEventList::Initialise
CGame::Initialise,0x002FB0A4,0x001903B8,
CGame::Initialise,0x002FB0AC,0x0018F648,
CGame::Initialise,0x002FB0B4,0x002C8D78,
CGame::Initialise,0x002FB0C8,0x001F5270,
CGame::Initialise,0x002FB0D0,0x00115438,
CGame::Initialise,0x002FB0D8,0x00115548,
CGame::Initialise,0x002FB0E0,0x002A25D0,CWeapon::InitialiseWeapons
CGame::Initialise,0x002FB0F8,0x001F5270,
CGame::Initialise,0x002FB100,0x003506F0,
CGame::Initialise,0x002FB114,0x001F5270,
CGame::Initialise,0x002FB11C,0x002EC1A0,CPopulation::Initialise
CGame::Initialise,0x002FB124,0x00259640,
CGame::Initialise,0x002FB12C,0x002DB6A0,
CGame::Initialise,0x002FB134,0x002B6018,
CGame::Initialise,0x002FB13C,0x0034F318,CSkidmarks::Init
CGame::Initialise,0x002FB144,0x0025A9E0,CAntennas::Init
CGame::Initialise,0x002FB14C,0x0011E1C0,CGlass::Init
CGame::Initialise,0x002FB158,0x002714B0,
CGame::Initialise,0x002FB170,0x001F5270,
CGame::Initialise,0x002FB178,0x001F8760,CClock::Initialise
CGame::Initialise,0x002FB184,0x001CC5B8,
CGame::Initialise,0x002FB18C,0x0022FC70,
CGame::Initialise,0x002FB194,0x00194B58,
CGame::Initialise,0x002FB1A0,0x00109BC8,CTheScripts::Init
CGame::Initialise,0x002FB1AC,0x002D2290,
CGame::Initialise,0x002FB1B4,0x001CC5C0,
CGame::Initialise,0x002FB1C8,0x001F5270,
CGame::Initialise,0x002FB1D0,0x00256048,CHeli::InitHelis
CGame::Initialise,0x002FB1D8,0x0014C350,
CGame::Initialise,0x002FB1E0,0x00100B00,
CGame::Initialise,0x002FB1E8,0x0023AEC8,CDarkel::Init
CGame::Initialise,0x002FB1F0,0x001CAF20,
CGame::Initialise,0x002FB1F8,0x001F1AA0,CRubbish::Init
CGame::Initialise,0x002FB200,0x0016AFD0,CClouds::Init
CGame::Initialise,0x002FB208,0x00245E50,
CGame::Initialise,0x002FB210,0x00146FC0,CSpecialFX::Init
CGame::Initialise,0x002FB218,0x002CDFF8,CWaterCannons::Init
CGame::Initialise,0x002FB220,0x0035A990,
CGame::Initialise,0x002FB23C,0x001F5270,
CGame::Initialise,0x002FB254,0x001F5270,
CGame::Initialise,0x002FB26C,0x001F5270,
CGame::Initialise,0x002FB274,0x0013CF48,
CGame::Initialise,0x002FB27C,0x00322848,CTrain::InitTrains
CGame::Initialise,0x002FB284,0x00261BC0,CPlane::InitPlanes
CGame::Initialise,0x002FB290,0x00104BA0,
CGame::Initialise,0x002FB298,0x002EBB70,
CGame::Initialise,0x002FB2A0,0x00327088,
CGame::Initialise,0x002FB2A8,0x0010A628,
CGame::Initialise,0x002FB2B0,0x0010A288,CTheScripts::Process
CGame::Initialise,0x002FB2B8,0x0028FAC8,
CGame::Initialise,0x002FB2C0,0x0018FA18,
CGame::Initialise,0x002FB2CC,0x00104BA0,
CGame::Initialise,0x002FB2E4,0x001F5270,
CGame::Initialise,0x002FB2FC,0x00104BA0,
CGame::Initialise,0x002FB304,0x00170BE8,
CGame::Initialise,0x002FB310,0x0016EBB8,
CGame::Initialise,0x002FB318,0x00170BE8,
CGame::Initialise,0x002FB324,0x0016EBB8,
CGame::Initialise,0x002FB330,0x00104BA0,
CGame::Initialise,0x002FB340,0x002A2238,
CGame::Initialise,0x002FB34C,0x00104BA0,
CGame::ReInitGameObjectVariables,0x002FB3A4,0x001F8760,CClock::Initialise
CGame::ReInitGameObjectVariables,0x002FB3AC,0x00205618,CGameLogic::InitAtStartOfGame
CGame::ReInitGameObjectVariables,0x002FB3B8,0x0028D860,
CGame::ReInitGameObjectVariables,0x002FB3C8,0x002932F8,
CGame::ReInitGameObjectVariables,0x002FB3D0,0x001F2EA8,
CGame::ReInitGameObjectVariables,0x002FB3D8,0x00324B78,
CGame::ReInitGameObjectVariables,0x002FB3E0,0x001FCEE0,CUserDisplay::Init
CGame::ReInitGameObjectVariables,0x002FB3E8,0x002F7A50,
CGame::ReInitGameObjectVariables,0x002FB3F0,0x002D9D58,
CGame::ReInitGameObjectVariables,0x002FB3F8,0x0023EB50,
CGame::ReInitGameObjectVariables,0x002FB400,0x00115438,
CGame::ReInitGameObjectVariables,0x002FB408,0x0021A218,
CGame::ReInitGameObjectVariables,0x002FB418,0x002083A0,
CGame::ReInitGameObjectVariables,0x002FB438,0x00100AB0,
CGame::ReInitGameObjectVariables,0x002FB44C,0x001FD758,
CGame::ReInitGameObjectVariables,0x002FB454,0x0018B718,
CGame::ReInitGameObjectVariables,0x002FB45C,0x0018C208,
CGame::ReInitGameObjectVariables,0x002FB464,0x0018C208,
CGame::ReInitGameObjectVariables,0x002FB46C,0x0018C208,
CGame::ReInitGameObjectVariables,0x002FB474,0x0018F648,
CGame::ReInitGameObjectVariables,0x002FB47C,0x0022B4D0,CEventList::Initialise
CGame::ReInitGameObjectVariables,0x002FB484,0x002A25D0,CWeapon::InitialiseWeapons
CGame::ReInitGameObjectVariables,0x002FB48C,0x002EC1A0,CPopulation::Initialise
CGame::ReInitGameObjectVariables,0x002FB4A0,0x00104D48,
CGame::ReInitGameObjectVariables,0x002FB4C4,0x0025A9E0,CAntennas::Init
CGame::ReInitGameObjectVariables,0x002FB4CC,0x0011E1C0,CGlass::Init
CGame::ReInitGameObjectVariables,0x002FB4D8,0x002714B0,
CGame::ReInitGameObjectVariables,0x002FB4E0,0x0022FC70,
CGame::ReInitGameObjectVariables,0x002FB4EC,0x001CC5B8,
CGame::ReInitGameObjectVariables,0x002FB4F4,0x00109BC8,CTheScripts::Init
CGame::ReInitGameObjectVariables,0x002FB4FC,0x002D2290,
CGame::ReInitGameObjectVariables,0x002FB504,0x001CC5C0,
CGame::ReInitGameObjectVariables,0x002FB50C,0x002B4C00,CTimer::Initialise
CGame::ReInitGameObjectVariables,0x002FB514,0x00320760,
CGame::ReInitGameObjectVariables,0x002FB51C,0x00256048,CHeli::InitHelis
CGame::ReInitGameObjectVariables,0x002FB524,0x00100B00,
CGame::ReInitGameObjectVariables,0x002FB52C,0x0023AEC8,CDarkel::Init
CGame::ReInitGameObjectVariables,0x002FB534,0x001C6CB0,CPickups::Init
CGame::ReInitGameObjectVariables,0x002FB53C,0x001CAF20,
CGame::ReInitGameObjectVariables,0x002FB54C,0x00194B58,
CGame::ReInitGameObjectVariables,0x002FB554,0x00245E50,
CGame::ReInitGameObjectVariables,0x002FB55C,0x00146FC0,CSpecialFX::Init
CGame::ReInitGameObjectVariables,0x002FB564,0x002CDFF8,CWaterCannons::Init
CGame::ReInitGameObjectVariables,0x002FB56C,0x001029A8,
CGame::ReInitGameObjectVariables,0x002FB574,0x001CC6B8,CParticleMgr_Initialise
CGame::ReInitGameObjectVariables,0x002FB580,0x00104BA0,
CGame::ReInitGameObjectVariables,0x002FB588,0x0014C350,
CGame::ReInitGameObjectVariables,0x002FB590,0x00261BC0,CPlane::InitPlanes
CGame::ReInitGameObjectVariables,0x002FB598,0x0013CF48,
CGame::ReInitGameObjectVariables,0x002FB5A0,0x00322848,CTrain::InitTrains
CGame::ReInitGameObjectVariables,0x002FB5AC,0x00104BA0,
CGame::ReInitGameObjectVariables,0x002FB5B4,0x00170BE8,
CGame::ReInitGameObjectVariables,0x002FB5C0,0x0016EBB8,
CGame::ReInitGameObjectVariables,0x002FB5C8,0x00170BE8,
CGame::ReInitGameObjectVariables,0x002FB5D4,0x0016EBB8,
CGame::ShutDownForRestart,0x002FB620,0x002A1EA8,
CGame::ShutDownForRestart,0x002FB628,0x001012C0,
CGame::ShutDownForRestart,0x002FB638,0x00104D48,
CGame::ShutDownForRestart,0x002FB654,0x0019C470,
CGame::ShutDownForRestart,0x002FB65C,0x00194C68,
CGame::ShutDownForRestart,0x002FB664,0x0022B310,
CGame::ShutDownForRestart,0x002FB66C,0x0022B3D0,
CGame::ShutDownForRestart,0x002FB674,0x00173388,
CGame::ShutDownForRestart,0x002FB67C,0x00206418,
CGame::ShutDownForRestart,0x002FB684,0x002B4CD8,
CGame::ShutDownForRestart,0x002FB68C,0x0018A4D0,
CGame::ShutDownForRestart,0x002FB694,0x0011A5D8,
CGame::ShutDownForRestart,0x002FB6A4,0x00338F38,
CGame::ShutDownForRestart,0x002FB6AC,0x001FBD70,
CGame::ShutDownForRestart,0x002FB6B4,0x00358C10,
CGame::ShutDownForRestart,0x002FB6BC,0x002E2A58,
CGame::ShutDownForRestart,0x002FB6C4,0x00245FB8,
CGame::ShutDownForRestart,0x002FB6CC,0x002FBF70,
CGame::ShutDownForRestart,0x002FB6D4,0x002FBFC8,
CGame::ShutDownForRestart,0x002FB6DC,0x002FC020,
CGame::InitialiseWhenRestarting,0x002FB730,0x00104BA0,
CGame::InitialiseWhenRestarting,0x002FB750,0x0025B300,
CGame::InitialiseWhenRestarting,0x002FB768,0x002B9CF8,
CGame::InitialiseWhenRestarting,0x002FB770,0x002B4C00,CTimer::Initialise
CGame::InitialiseWhenRestarting,0x002FB778,0x00320A70,
CGame::InitialiseWhenRestarting,0x002FB780,0x0028D860,
CGame::InitialiseWhenRestarting,0x002FB7A8,0x001F4DF8,
CGame::InitialiseWhenRestarting,0x002FB7C8,0x001F3F98,
CGame::InitialiseWhenRestarting,0x002FB7D0,0x001F4C88,DoRWStuffEndOfFrame
CGame::InitialiseWhenRestarting,0x002FB7F0,0x001F3F98,
CGame::InitialiseWhenRestarting,0x002FB7F8,0x001F4C88,DoRWStuffEndOfFrame
CGame::InitialiseWhenRestarting,0x002FB820,0x002F7840,
CGame::InitialiseWhenRestarting,0x002FB840,0x003430A8,
CGame::InitialiseWhenRestarting,0x002FB870,0x003430A8,
CGame::InitialiseWhenRestarting,0x002FB890,0x002FB388,CGame::ReInitGameObjectVariables
CGame::InitialiseWhenRestarting,0x002FB8A8,0x002F69F0,
CGame::InitialiseWhenRestarting,0x002FB8CC,0x002A2218,
CGame::InitialiseWhenRestarting,0x002FB8D4,0x0013CF48,
CGame::InitialiseWhenRestarting,0x002FB8DC,0x00322848,CTrain::InitTrains
CGame::InitialiseWhenRestarting,0x002FB8E4,0x00261BC0,CPlane::InitPlanes
CGame::InitialiseWhenRestarting,0x002FB904,0x001F3F98,
CGame::InitialiseWhenRestarting,0x002FB90C,0x001F4C88,DoRWStuffEndOfFrame
CGame::InitialiseWhenRestarting,0x002FB92C,0x001F3F98,
CGame::InitialiseWhenRestarting,0x002FB934,0x001F4C88,DoRWStuffEndOfFrame
CGame::InitialiseWhenRestarting,0x002FB948,0x003430A8,
CGame::InitialiseWhenRestarting,0x002FB980,0x001F3F98,
CGame::InitialiseWhenRestarting,0x002FB990,0x001F4C88,DoRWStuffEndOfFrame
CGame::InitialiseWhenRestarting,0x002FB9B0,0x001F3F98,
CGame::InitialiseWhenRestarting,0x002FB9B8,0x001F4C88,DoRWStuffEndOfFrame
CGame::InitialiseWhenRestarting,0x002FB9D0,0x003430A8,
CGame::InitialiseWhenRestarting,0x002FBA00,0x001F3F98,
CGame::InitialiseWhenRestarting,0x002FBA0C,0x001F4C88,DoRWStuffEndOfFrame
CGame::InitialiseWhenRestarting,0x002FBA2C,0x001F3F98,
CGame::InitialiseWhenRestarting,0x002FBA34,0x001F4C88,DoRWStuffEndOfFrame
CGame::InitialiseWhenRestarting,0x002FBA48,0x003430A8,
CGame::InitialiseWhenRestarting,0x002FBA64,0x00293010,
CGame::InitialiseWhenRestarting,0x002FBA6C,0x002FB600,CGame::ShutDownForRestart
CGame::InitialiseWhenRestarting,0x002FBA74,0x002B5098,CTimer::Stop
CGame::InitialiseWhenRestarting,0x002FBA7C,0x002B4C00,CTimer::Initialise
CGame::InitialiseWhenRestarting,0x002FBA84,0x002FB388,CGame::ReInitGameObjectVariables
CGame::InitialiseWhenRestarting,0x002FBA9C,0x002B4CF8,CTimer::Update
CGame::InitialiseWhenRestarting,0x002FBAAC,0x002A2238,
CGame::InitialiseWhenRestarting,0x002FBAC0,0x00104BA0,
CGame::Process,0x002FBB1C,0x0010A628,
CGame::Process,0x002FBB24,0x0010A288,CTheScripts::Process
CGame::Process,0x002FBB38,0x0028FAC8,
CGame::Process,0x002FBB40,0x0018FA18,
CGame::Process,0x002FBB48,0x002FBEE0,
CGame::Process,0x002FBB70,0x0018FF80,
CGame::Process,0x002FBB78,0x0018F648,
CGame::Process,0x002FBB88,0x0028FAC8,
CGame::Process,0x002FBB90,0x0018FA18,
CGame::Process,0x002FBB9C,0x0016F890,
CGame::Process,0x002FBBC8,0x001FBF68,
CGame::Process,0x002FBBD0,0x0022DAC0,
CGame::Process,0x002FBBF8,0x0033F3A8,
CGame::Process,0x002FBC10,0x002D3630,
CGame::Process,0x002FBC18,0x002B50D0,
CGame::Process,0x002FBC20,0x0018AE68,
CGame::Process,0x002FBC28,0x002B50D0,
CGame::Process,0x002FBC50,0x00320A70,
CGame::Process,0x002FBC58,0x00320B00,
CGame::Process,0x002FBC60,0x00164C08,
CGame::Process,0x002FBC68,0x00327080,
CGame::Process,0x002FBC70,0x00327090,
CGame::Process,0x002FBC78,0x001709E8,
CGame::Process,0x002FBC80,0x001F88C0,CClock::Update
CGame::Process,0x002FBC94,0x00324C50,
CGame::Process,0x002FBCAC,0x001CC5B8,
CGame::Process,0x002FBCB4,0x0010A288,CTheScripts::Process
CGame::Process,0x002FBCBC,0x001CC5C0,
CGame::Process,0x002FBCD0,0x001029F0,
CGame::Process,0x002FBCD8,0x0013D040,
CGame::Process,0x002FBCE0,0x00322DC8,CTrain::UpdateTrains
CGame::Process,0x002FBCE8,0x00261D10,CPlane::UpdatePlanes
CGame::Process,0x002FBCF0,0x002560E8,CHeli::UpdateHelis
CGame::Process,0x002FBCF8,0x0023AED0,CDarkel::Update
CGame::Process,0x002FBD00,0x0034F3E0,CSkidmarks::Update
CGame::Process,0x002FBD08,0x0025AA18,CAntennas::Update
CGame::Process,0x002FBD10,0x0011E260,CGlass::Update
CGame::Process,0x002FBD18,0x0022B560,CEventList::Update
CGame::Process,0x002FBD20,0x001CE1B0,CParticle::Update
CGame::Process,0x002FBD2C,0x00306A50,
CGame::Process,0x002FBD40,0x002B50D0,
CGame::Process,0x002FBD48,0x002EC290,CPopulation::Update
CGame::Process,0x002FBD50,0x002B5040,
CGame::Process,0x002FBD58,0x002B5030,
CGame::Process,0x002FBD68,0x002A2618,CWeapon::UpdateWeapons
CGame::Process,0x002FBD80,0x003205F0,
CGame::Process,0x002FBD88,0x0014CB78,
CGame::Process,0x002FBD90,0x0016B080,CClouds::Update
CGame::Process,0x002FBD98,0x001013D0,
CGame::Process,0x002FBDA0,0x002CE178,CWaterCannons::Update
CGame::Process,0x002FBDB4,0x001FCF28,CUserDisplay::Process
CGame::Process,0x002FBDC0,0x001CC5B8,
CGame::Process,0x002FBDC8,0x00176CE8,
CGame::Process,0x002FBDD0,0x001CC5C0,
CGame::Process,0x002FBDDC,0x003503C8,
CGame::Process,0x002FBDE4,0x001CAF28,
CGame::Process,0x002FBDEC,0x001C6D30,CPickups::Update
CGame::Process,0x002FBDF4,0x00194CA0,
CGame::Process,0x002FBDFC,0x001F1C60,CRubbish::Update
CGame::Process,0x002FBE04,0x00246438,
CGame::Process,0x002FBE0C,0x00146FF0,CSpecialFX::Update
CGame::Process,0x002FBE14,0x001B7F30,
CGame::Process,0x002FBE1C,0x003523B0,
CGame::Process,0x002FBE3C,0x0028FAC8,
CGame::Process,0x002FBE44,0x00205640,CGameLogic::Update
CGame::Process,0x002FBE4C,0x0035AA38,
CGame::Process,0x002FBE64,0x00259B70,
CGame::Process,0x002FBE6C,0x00257F10,
CGame::Process,0x002FBE74,0x002DF2D8,
CGame::Process,0x002FBE7C,0x002DF360,
CGame::Process,0x002FBE88,0x00271678,
CGame::Process,0x002FBE94,0x001CC5B8,
CGame::Process,0x002FBE9C,0x00212938,
CGame::Process,0x002FBEA4,0x003507B0,
CGame::Process,0x002FBEAC,0x00215548,
CGame::Process,0x002FBEB4,0x002156B0,
CGame::Process,0x002FBEBC,0x001CC5C0,
